n,algoritmo,repetición,distancia,tiempo_segundos
30,CHRISTOFIDES,3,444.4096021237771,0.01731586456298828
30,CHRISTOFIDES,4,497.17954453270147,0.007516384124755859
30,CHRISTOFIDES,5,489.34712299753033,0.009783506393432617
30,CHRISTOFIDES,6,455.8787204075476,0.010995626449584961
30,CHRISTOFIDES,7,474.65051479255646,0.009505987167358398
30,CHRISTOFIDES,8,445.5265147471961,0.008160829544067383
30,CHRISTOFIDES,9,483.7914765483227,0.009820699691772461
30,CHRISTOFIDES,10,486.7364057997594,0.009820222854614258
35,PATH_CHEAPEST_ARC,1,479.00264444990756,0.010907888412475586
35,PATH_CHEAPEST_ARC,2,442.4871923000929,0.012885570526123047
35,PATH_CHEAPEST_ARC,3,504.1313733256531,0.01456308364868164
35,PATH_CHEAPEST_ARC,4,474.7627675840621,0.01331639289855957
35,PATH_CHEAPEST_ARC,5,516.1921160932186,0.012016773223876953
35,PATH_CHEAPEST_ARC,6,428.20775255827,0.012314081192016602
35,PATH_CHEAPEST_ARC,7,529.8497352728207,0.015194416046142578
35,PATH_CHEAPEST_ARC,8,510.1984115105696,0.01341104507446289
35,PATH_CHEAPEST_ARC,9,503.0415488403,0.018455982208251953
35,PATH_CHEAPEST_ARC,10,533.4968400573719,0.01319742202758789
35,SAVINGS,1,463.59470878218417,0.01371622085571289
35,SAVINGS,2,481.0256308481919,0.016978979110717773
35,SAVINGS,3,488.9732670830415,0.017656326293945312
35,SAVINGS,4,526.1997412425635,0.013056278228759766
35,SAVINGS,5,548.7128481429129,0.012713193893432617
35,SAVINGS,6,470.5338445224406,0.016127347946166992
35,SAVINGS,7,494.26515176176076,0.011834383010864258
35,SAVINGS,8,496.5024751162736,0.014654874801635742
35,SAVINGS,9,437.5974428198767,0.01706671714782715
35,SAVINGS,10,472.7927657702405,0.015328645706176758
35,CHRISTOFIDES,1,465.24920849550335,0.011026620864868164
35,CHRISTOFIDES,2,497.73640955859264,0.016341447830200195
35,CHRISTOFIDES,3,490.81929806556855,0.01199960708618164
35,CHRISTOFIDES,4,497.08880131316056,0.010627269744873047
35,CHRISTOFIDES,5,520.7137798923198,0.013145208358764648
35,CHRISTOFIDES,6,510.09609826983854,0.015193462371826172
35,CHRISTOFIDES,7,507.4159956613952,0.017870187759399414
35,CHRISTOFIDES,8,492.91513719965985,0.013032674789428711
35,CHRISTOFIDES,9,506.4409706839936,0.012376546859741211
35,CHRISTOFIDES,10,515.09763868631,0.01244044303894043
40,PATH_CHEAPEST_ARC,1,518.8085634853599,0.016400575637817383
40,PATH_CHEAPEST_ARC,2,540.2623036115411,0.017342805862426758
40,PATH_CHEAPEST_ARC,3,532.429349992241,0.023355484008789062
40,PATH_CHEAPEST_ARC,4,485.5393518566864,0.0224759578704834
40,PATH_CHEAPEST_ARC,5,528.4011666890846,0.017778873443603516
40,PATH_CHEAPEST_ARC,6,570.7029427511205,0.02012491226196289
40,PATH_CHEAPEST_ARC,7,504.68844395977095,0.016902446746826172
40,PATH_CHEAPEST_ARC,8,510.3429210843083,0.018471479415893555
40,PATH_CHEAPEST_ARC,9,523.1628123557462,0.022807836532592773
40,PATH_CHEAPEST_ARC,10,579.3924203982793,0.01613640785217285
40,SAVINGS,1,565.8872574619056,0.018224000930786133
40,SAVINGS,2,541.9067952862816,0.016974687576293945
40,SAVINGS,3,482.0980899205985,0.01813364028930664
40,SAVINGS,4,557.1962622753351,0.014367341995239258
40,SAVINGS,5,514.8924572035872,0.01767277717590332
40,SAVINGS,6,533.1248339642824,0.01977682113647461
40,SAVINGS,7,498.3496671231422,0.01868605613708496
40,SAVINGS,8,542.2237401220787,0.017407894134521484
40,SAVINGS,9,512.4894767502735,0.014281511306762695
40,SAVINGS,10,511.5624460708495,0.015645503997802734
40,CHRISTOFIDES,1,566.530660730122,0.017931222915649414
40,CHRISTOFIDES,2,528.9282416306503,0.02260589599609375
40,CHRISTOFIDES,3,548.8479408458862,0.01794290542602539
40,CHRISTOFIDES,4,502.0670047460934,0.023435354232788086
40,CHRISTOFIDES,5,525.6435402401164,0.01995110511779785
40,CHRISTOFIDES,6,555.2796354683518,0.019942283630371094
40,CHRISTOFIDES,7,508.4141899124925,0.015967369079589844
40,CHRISTOFIDES,8,592.0035959327481,0.020424365997314453
40,CHRISTOFIDES,9,502.3273101603503,0.014595508575439453
40,CHRISTOFIDES,10,534.1639932040065,0.0161283016204834
45,PATH_CHEAPEST_ARC,1,539.6442876120288,0.02680516242980957
